list_title,film_title,film_year,avg_rating,viewers,runtime,budget,revenue,film_url
Oscars,wings,1927,3.8,"29,007",144,"2,000,000.00","3,600,000.00",https://letterboxd.com/film/wings/
Oscars,the broadway melody,1929,2.4,"13,530",101,"379,000.00","4,358,000.00",https://letterboxd.com/film/the-broadway-melody/
Oscars,all quiet on the western front,1930,4.2,"96,034",133,"1,448,864.00","3,270,000.00",https://letterboxd.com/film/all-quiet-on-the-western-front/
Oscars,cimarron,1931,2.4,"9,674",123,"1,433,000.00","1,383,000.00",https://letterboxd.com/film/cimarron/
Oscars,grand hotel,1932,3.5,"27,978",112,"700,000.00","2,594,000.00",https://letterboxd.com/film/grand-hotel/
Oscars,cavalcade,1933,2.5,"8,777",112,"1,180,280.00","7,630,000.00",https://letterboxd.com/film/cavalcade/
Oscars,it happened one night,1934,4.2,"174,514",105,"325,000.00","4,500,000.00",https://letterboxd.com/film/it-happened-one-night/
Oscars,mutiny on the bounty,1935,3.7,"26,326",132,"1,950,000.00","4,460,000.00",https://letterboxd.com/film/mutiny-on-the-bounty/
Oscars,the great ziegfeld,1936,3.0,"10,924",185,"2,183,000.00","4,673,000.00",https://letterboxd.com/film/the-great-ziegfeld/
Oscars,the life of emile zola,1937,3.3,"11,178",116,,,https://letterboxd.com/film/the-life-of-emile-zola/
Oscars,you cant take it with you,1938,3.8,"34,544",126,"1,644,736.00","7,433,101.00",https://letterboxd.com/film/you-cant-take-it-with-you/
Oscars,gone with the wind,1939,3.9,"402,022",233,"4,000,000.00","402,352,579.00",https://letterboxd.com/film/gone-with-the-wind/
Oscars,rebecca,1940,4.1,"221,353",130,"1,288,000.00","7,592,465.00",https://letterboxd.com/film/rebecca/
Oscars,how green was my valley,1941,4.1,"46,484",118,"1,250,000.00","6,000,000.00",https://letterboxd.com/film/how-green-was-my-valley/
Oscars,mrs miniver,1942,3.7,"20,615",134,"1,344,000.00","13,500,000.00",https://letterboxd.com/film/mrs-miniver/
Oscars,casablanca,1942,4.3,"1,063,136",103,"878,000.00","10,462,500.00",https://letterboxd.com/film/casablanca/
Oscars,going my way,1944,3.3,"13,705",126,,"16,300,000.00",https://letterboxd.com/film/going-my-way/
Oscars,the lost weekend,1945,4.0,"54,842",101,"1,250,000.00","11,000,000.00",https://letterboxd.com/film/the-lost-weekend/
Oscars,the best years of our lives,1946,4.2,"63,736",171,"2,100,000.00","23,650,000.00",https://letterboxd.com/film/the-best-years-of-our-lives/
Oscars,gentlemans agreement,1947,3.5,"20,078",118,"2,000,000.00","7,800,000.00",https://letterboxd.com/film/gentlemans-agreement/
Oscars,hamlet,1948,3.7,"28,176",153,"750,000.00",,https://letterboxd.com/film/hamlet/
